t,z,thrust,z_ref
0.012,0.05,81.667,0.55
0.016,0.050248,81.514,0.55
0.02,0.050991,81.072,0.55
0.024,0.052226,80.389,0.55
0.028,0.053947,79.531,0.55
0.032,0.056148,78.569,0.55
0.036,0.05882,77.568,0.55
0.04,0.061956,76.58,0.55
0.044,0.065548,75.642,0.55
0.048,0.069588,74.777,0.55
0.052,0.07407,73.995,0.55
0.056,0.078987,73.3,0.55
0.06,0.084333,72.688,0.55
0.064,0.090104,72.155,0.55
0.068,0.096296,71.693,0.55
0.072,0.1029,71.205,0.55
0.076,0.10991,61.191,0.55
0.08,0.11726,52.403,0.55
0.084,0.12486,44.632,0.55
0.088,0.13267,37.802,0.55
0.092,0.14062,31.831,0.55
0.096,0.14867,26.637,0.55
0.1,0.15678,22.14,0.55
0.104,0.1649,18.266,0.55
0.108,0.17302,14.946,0.55
0.112,0.1811,12.116,0.55
0.116,0.18912,9.7181,0.55
0.12,0.19707,7.7013,0.55
0.124,0.20491,6.0185,0.55
0.128,0.21265,4.6282,0.55
0.132,0.22027,3.4933,0.55
0.136,0.22776,2.5811,0.55
0.14,0.23512,1.8626,0.55
0.144,0.24233,1.3122,0.55
0.148,0.2494,0.90718,0.55
0.152,0.25631,0.62784,0.55
0.156,0.26308,0.4567,0.55
0.16,0.26969,0.37848,0.55
0.164,0.27615,0.3798,0.55
0.168,0.28246,0.44893,0.55
0.172,0.28861,0.57565,0.55
0.176,0.29461,0.75099,0.55
0.18,0.30046,0.96718,0.55
0.184,0.30616,1.2174,0.55
0.188,0.31171,1.4957,0.55
0.192,0.31712,1.7971,0.55
0.196,0.32238,2.1169,0.55
0.2,0.32751,2.4514,0.55
0.204,0.3325,2.7972,0.55
0.208,0.33735,3.1515,0.55
0.212,0.34207,3.5116,0.55
0.216,0.34667,3.8755,0.55
0.22,0.35114,4.2413,0.55
0.224,0.35548,4.6075,0.55
0.228,0.35971,4.9726,0.55
0.232,0.36382,5.3356,0.55
0.236,0.36781,5.6955,0.55
0.24,0.37169,6.0515,0.55
0.244,0.37547,6.4029,0.55
0.248,0.37914,6.7491,0.55
0.252,0.3827,7.0897,0.55
0.256,0.38617,7.4243,0.55
0.26,0.38954,7.7526,0.55
0.264,0.39281,8.0743,0.55
0.268,0.39599,8.3894,0.55
0.272,0.39908,8.6976,0.55
0.276,0.40209,8.9989,0.55
0.28,0.40501,9.2933,0.55
0.284,0.40785,9.5807,0.55
0.288,0.4106,9.8612,0.55
0.292,0.41328,10.135,0.55
0.296,0.41589,10.401,0.55
0.3,0.41842,10.661,0.55
0.304,0.42087,10.914,0.55
0.308,0.42326,11.161,0.55
0.312,0.42558,11.401,0.55
0.316,0.42784,11.634,0.55
0.32,0.43003,11.862,0.55
0.324,0.43216,12.083,0.55
0.328,0.43423,12.298,0.55
0.332,0.43625,12.507,0.55
0.336,0.4382,12.711,0.55
0.34,0.4401,12.909,0.55
0.344,0.44195,13.101,0.55
0.348,0.44374,13.288,0.55
0.352,0.44548,13.47,0.55
0.356,0.44718,13.646,0.55
0.36,0.44883,13.818,0.55
0.364,0.45043,13.984,0.55
0.368,0.45198,14.146,0.55
0.372,0.4535,14.304,0.55
0.376,0.45497,14.457,0.55
0.38,0.45639,14.605,0.55
0.384,0.45778,14.75,0.55
0.388,0.45913,14.89,0.55
0.392,0.46045,15.026,0.55
0.396,0.46172,15.158,0.55
0.4,0.46296,15.287,0.55
0.404,0.46417,15.411,0.55
0.408,0.46534,15.532,0.55
0.412,0.46648,15.65,0.55
0.416,0.46759,15.764,0.55
0.42,0.46866,15.875,0.55
0.424,0.46971,15.983,0.55
0.428,0.47073,16.088,0.55
0.432,0.47172,16.189,0.55
0.436,0.47268,16.288,0.55
0.44,0.47362,16.384,0.55
0.444,0.47453,16.477,0.55
0.448,0.47542,16.567,0.55
0.452,0.47628,16.655,0.55
